,# Columns: time,avg_rss12,var_rss12,avg_rss13,var_rss13,avg_rss23,var_rss23,Output
0,0,24.5,4.77,16.5,4.5,13.75,2.38,walking
1,250,40.0,5.24,19.25,2.86,12.25,4.32,walking
2,500,40.0,2.83,17.0,1.41,16.75,4.71,walking
3,750,37.75,0.83,16.0,5.15,16.25,7.12,walking
4,1000,36.5,5.36,18.25,2.17,11.5,4.27,walking
5,1250,31.25,9.88,9.75,3.27,17.5,4.03,walking
6,1500,28.0,2.74,18.25,1.92,18.0,3.08,walking
7,1750,36.25,6.02,17.25,4.26,19.25,5.97,walking
8,2000,39.0,3.67,18.25,3.11,14.0,8.46,walking
9,2250,37.0,1.41,19.0,2.94,18.5,1.5,walking
10,2500,38.6,1.96,16.75,2.49,15.6,4.41,walking
11,2750,35.5,7.09,12.5,0.87,13.75,4.66,walking
12,3000,24.5,4.97,14.75,3.42,17.0,1.87,walking
13,3250,30.25,8.14,15.25,4.44,15.0,3.0,walking
14,3500,39.5,3.35,13.0,6.53,16.25,1.79,walking
15,3750,35.33,3.3,17.33,1.7,16.75,2.05,walking
16,4000,40.5,3.2,18.25,3.11,18.0,2.92,walking
17,4250,35.0,7.65,16.0,2.0,17.25,2.17,walking
18,4500,28.0,2.94,18.0,1.73,16.67,4.03,walking
19,4750,28.25,5.21,15.25,4.02,22.0,1.22,walking
20,5000,40.0,4.24,11.75,1.79,19.75,1.64,walking
21,5250,36.25,0.43,11.25,4.32,10.5,6.8,walking
22,5500,33.67,3.86,13.33,4.64,17.5,1.12,walking
23,5750,37.5,11.08,15.75,3.96,15.5,7.3,walking
24,6000,26.5,2.87,9.75,1.3,15.0,5.24,walking
25,6250,25.33,4.19,11.33,0.47,19.25,4.76,walking
26,6500,39.25,5.07,15.5,5.59,18.0,2.74,walking
27,6750,34.75,2.17,20.25,3.34,17.25,3.9,walking
28,7000,33.0,3.0,21.0,2.92,12.0,8.15,walking
29,7250,34.5,1.5,22.5,1.5,22.5,1.5,walking
30,7500,31.5,6.99,14.75,2.28,22.0,2.12,walking
31,7750,28.5,2.96,17.5,2.06,15.5,1.5,walking
32,8000,34.33,8.06,18.25,5.45,18.67,2.05,walking
33,8250,36.25,2.17,23.75,4.71,13.5,1.5,walking
